"Backorder ETA","Backorder ETA"
"Restock Date","Restock Date"
"Estimated delivery times","Estimated delivery times"
"Ships in","Ships in"
"Dismiss","Dismiss"

"eTechFlow","eTechFlow"
"Backorder ETA Display","Backorder ETA Display"

"Module Status","Module Status"
"License","License"
"Production Environment","Production Environment"
"License Key","License Key"

"General Settings","General Settings"
"Enable Module","Enable Module"
"Default ETA Text","Default ETA Text"
"Default Restock Date","Default Restock Date"
"Label Prefix (Default ETA Only)","Label Prefix (Default ETA Only)"
"Label Prefix (default text only)","Label Prefix (default text only)"

"Display Locations","Display Locations"
"Show on Product Page","Show on Product Page"
"Show on Cart Page","Show on Cart Page"
"Show on Checkout","Show on Checkout"
"Include in Order Confirmation Email","Include in Order Confirmation Email"
"Badge Style","Badge Style"

"Warning (amber)","Warning (amber)"
"Info (blue)","Info (blue)"
"Neutral (grey)","Neutral (grey)"

"eTechFlow Shipping","eTechFlow Shipping"
